step,batch_loss,train_loss,test_loss,train_acc,test_acc,train_margin,test_margin,param_norm,embedding_norm,top_embedding_frequencies
1,3.48680496,3.57079188,3.57393579,0.04861111,0.02674591,-1.03718525,-1.03133471,54.35810471,8.17772770,"k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070"
1000,0.01129104,0.01142886,4.08793379,1.00000000,0.29271917,6.65954420,-1.91336853,52.32446289,7.68282270,"k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070"
2000,0.00426352,0.00431002,4.27375637,1.00000000,0.29271917,7.77504815,-1.89836513,49.51078796,7.23240280,"k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070"
3000,0.00235081,0.00233316,4.39839977,1.00000000,0.29271917,8.47369385,-1.87464268,46.85375214,6.80852556,"k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070"
4000,0.00137983,0.00137325,4.52800833,1.00000000,0.29123328,9.05888536,-1.86288040,44.36783218,6.40954351,"k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070"
5000,0.00231242,0.00225461,5.05445678,1.00000000,0.28974740,7.99885898,-2.62322409,42.66095734,6.02677059,"k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.072, k=12: 0.070"
6000,0.00154910,0.00155624,4.85492823,1.00000000,0.28974740,8.60112847,-2.24686317,40.35057068,5.67396545,"k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.072, k=12: 0.070"
7000,0.00112651,0.00115965,4.79723486,1.00000000,0.28974740,9.04924011,-2.05653615,38.22340012,5.34162235,"k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.072, k=12: 0.070"
8000,0.00082254,0.00077528,4.84077170,1.00000000,0.28974740,9.52769809,-1.98556124,36.27270126,5.02876520,"k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.072, k=12: 0.070"
9000,0.00049994,0.00048375,4.94817616,1.00000000,0.28974740,10.02672492,-1.97378481,34.47774506,4.73435116,"k=1: 0.080, k=11: 0.080, k=2: 0.076, k=15: 0.072, k=12: 0.070"
10000,0.00029672,0.00029381,5.09482233,1.00000000,0.28974740,10.51389313,-2.00630231,32.82504272,4.45729685,"k=1: 0.080, k=11: 0.080, k=2: 0.076, k=15: 0.072, k=12: 0.070"
11000,0.00017577,0.00017539,5.25963068,1.00000000,0.28974740,11.00372569,-2.02517043,31.30675316,4.19652224,"k=1: 0.080, k=11: 0.080, k=2: 0.076, k=15: 0.072, k=12: 0.071"
12000,0.00349300,0.00343194,6.53173756,1.00000000,0.28974740,7.03322517,-4.58843477,31.33982658,3.94616866,"k=11: 0.083, k=1: 0.080, k=2: 0.076, k=12: 0.072, k=15: 0.071"
13000,0.00125124,0.00129658,6.23176527,1.00000000,0.28974740,8.22620307,-4.00189835,29.74550629,3.71535468,"k=11: 0.083, k=1: 0.080, k=2: 0.076, k=12: 0.072, k=15: 0.071"
14000,0.00080091,0.00083841,5.87834904,1.00000000,0.28974740,8.88119168,-3.45491198,28.23237991,3.49830818,"k=11: 0.083, k=1: 0.080, k=2: 0.076, k=12: 0.071, k=15: 0.071"
15000,0.00063535,0.00064924,5.60581846,1.00000000,0.28974740,9.34293789,-3.02676097,26.85411453,3.29409838,"k=11: 0.083, k=1: 0.080, k=2: 0.076, k=12: 0.071, k=15: 0.071"
16000,0.00049726,0.00050845,5.48816263,1.00000000,0.28974740,9.74330902,-2.76283951,25.64310646,3.10191512,"k=11: 0.083, k=1: 0.080, k=2: 0.075, k=12: 0.071, k=15: 0.071"
17000,0.00036490,0.00035750,5.52151594,1.00000000,0.28974740,10.17447238,-2.64747690,24.60887337,2.92097020,"k=11: 0.083, k=1: 0.080, k=2: 0.075, k=12: 0.071, k=15: 0.071"
18000,0.00022545,0.00022833,5.65040006,1.00000000,0.28974740,10.65581512,-2.63415799,23.72897148,2.75060225,"k=11: 0.083, k=1: 0.080, k=2: 0.075, k=12: 0.071, k=15: 0.071"
19000,0.00265987,0.00252476,6.12015492,1.00000000,0.28974740,7.48112149,-4.04072868,24.83575630,2.58934593,"k=11: 0.088, k=1: 0.079, k=2: 0.076, k=12: 0.075, k=6: 0.070"
20000,0.00140339,0.00135658,5.84256158,1.00000000,0.28974740,8.31471168,-3.56196674,23.62314987,2.43811584,"k=11: 0.088, k=1: 0.079, k=2: 0.076, k=12: 0.075, k=6: 0.071"
