/workspace/modeling-lab/ml/algorithmic_grokking/lab1/train.py:42: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.blocks = nn.TransformerEncoder(encoder_layer, num_layers=layers)
device=cuda p=31 train=288 test=673
step,loss,train_acc,test_acc,top_embedding_frequencies
1,3.486805,0.0486,0.0267,k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070
300,0.105171,1.0000,0.2912,k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070
600,0.023018,1.0000,0.2912,k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070
900,0.011147,1.0000,0.2912,k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070
1200,0.007318,1.0000,0.2927,k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070
1500,0.004908,1.0000,0.2927,k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070
1800,0.003639,1.0000,0.2927,k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070
2100,0.002833,1.0000,0.2927,k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070
2400,0.002269,1.0000,0.2927,k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070
2700,0.001860,1.0000,0.2927,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
3000,0.001535,1.0000,0.2927,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
