/workspace/modeling-lab/ml/algorithmic_grokking/lab1/train.py:42: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.blocks = nn.TransformerEncoder(encoder_layer, num_layers=layers)
device=cuda p=31 train=288 test=673
step,loss,train_acc,test_acc,top_embedding_frequencies
1,3.486805,0.0486,0.0267,k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070
300,0.160821,1.0000,0.2912,k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070
600,0.053154,1.0000,0.2912,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
900,0.037287,1.0000,0.2912,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
1200,0.030836,1.0000,0.2912,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
1500,0.026299,1.0000,0.2897,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
1800,0.024363,1.0000,0.2897,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
2100,0.178011,1.0000,0.2897,k=11: 0.081, k=1: 0.080, k=2: 0.076, k=15: 0.072, k=12: 0.071
2400,0.020201,1.0000,0.2897,k=11: 0.081, k=1: 0.080, k=2: 0.075, k=15: 0.072, k=12: 0.071
2700,0.021677,1.0000,0.2897,k=11: 0.081, k=1: 0.080, k=2: 0.075, k=15: 0.072, k=12: 0.071
3000,1.156826,0.8160,0.1842,k=11: 0.085, k=1: 0.080, k=2: 0.075, k=12: 0.072, k=15: 0.070
