/workspace/modeling-lab/ml/algorithmic_grokking/lab1/train.py:44: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.blocks = nn.TransformerEncoder(encoder_layer, num_layers=layers)
device=cuda p=31 train=288 test=673
step,loss,train_acc,test_acc,top_embedding_frequencies
1,3.486805,0.0486,0.0267,k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070
1000,0.013395,1.0000,0.2927,k=1: 0.080, k=11: 0.078, k=2: 0.076, k=15: 0.073, k=12: 0.070
2000,0.005656,1.0000,0.2927,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
3000,0.007545,1.0000,0.2897,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.072, k=12: 0.070
4000,0.003269,1.0000,0.2897,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
5000,0.002359,1.0000,0.2897,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
6000,0.001578,1.0000,0.2912,k=1: 0.080, k=11: 0.079, k=2: 0.076, k=15: 0.073, k=12: 0.070
7000,0.000967,1.0000,0.2912,k=1: 0.080, k=11: 0.080, k=2: 0.076, k=15: 0.073, k=12: 0.071
8000,0.008218,1.0000,0.2897,k=11: 0.082, k=1: 0.080, k=2: 0.076, k=12: 0.072, k=15: 0.071
9000,0.002186,1.0000,0.2897,k=11: 0.082, k=1: 0.080, k=2: 0.076, k=12: 0.072, k=15: 0.071
10000,0.001823,1.0000,0.2897,k=11: 0.082, k=1: 0.080, k=2: 0.075, k=12: 0.072, k=6: 0.071
11000,0.025273,1.0000,0.2927,k=11: 0.086, k=1: 0.080, k=2: 0.075, k=12: 0.074, k=6: 0.072
12000,0.002793,1.0000,0.2897,k=11: 0.086, k=1: 0.079, k=2: 0.074, k=12: 0.073, k=6: 0.072
13000,0.001832,1.0000,0.2897,k=11: 0.086, k=1: 0.079, k=2: 0.074, k=12: 0.073, k=6: 0.072
14000,0.001379,1.0000,0.2897,k=11: 0.086, k=1: 0.079, k=2: 0.074, k=12: 0.073, k=6: 0.073
15000,0.000929,1.0000,0.2912,k=11: 0.086, k=1: 0.079, k=2: 0.074, k=12: 0.073, k=6: 0.073
16000,0.000616,1.0000,0.2912,k=11: 0.086, k=1: 0.080, k=2: 0.073, k=12: 0.073, k=6: 0.073
17000,0.000356,1.0000,0.2912,k=11: 0.086, k=1: 0.080, k=6: 0.073, k=12: 0.073, k=2: 0.073
18000,0.000213,1.0000,0.2912,k=11: 0.086, k=1: 0.080, k=6: 0.074, k=12: 0.074, k=2: 0.073
19000,0.000126,1.0000,0.2912,k=11: 0.087, k=1: 0.081, k=6: 0.074, k=12: 0.074, k=2: 0.073
20000,0.000077,1.0000,0.2912,k=11: 0.087, k=1: 0.082, k=6: 0.074, k=12: 0.074, k=9: 0.073
